question,answer
How do I withdraw my Express Entry profile?,"To withdraw your profile:
On the main page of your account, go to the section “What would you like to do today?”On the main page of your accountaccount, go to the section “What would you like to do today?”
Scroll down to “View my submitted applications or profiles”Scroll down to “View my submitted applications or profiles”
Click on the orange “Withdraw profile” buttonClick on the orange “Withdraw profile” button
Under the heading “What would you like to do today?” below the “Warning!” text, click on the orange “Continue” button.Under the heading “What would you like to do today?” below the “Warning!” text, click on the orange “Continue” button.
"
"In an Express Entry profile, should I only include the minimum work experience needed to qualify for one of the programs, or should I include more?","To qualify for the broadest range of programs, including the Federal Skilled Worker Program, you should include work experience for the last 10 years. We also need this information for an application for permanent residence, no matter which program you are applying under."
"I applied before Express Entry was launched, but my application was returned because it was incomplete (or the cap was reached). Do I answer “yes” or “no” to the “have you previously submitted an application” question?","If you got a letter from us that confirms your previous application is being processed, you should answer “yes.”If you did not get this letter, you should answer “no.” If the application was never formally accepted for processing, we don’t count it as an application."
"In an Express Entry profile, what do you mean by the “date the applicant first became qualified to practice this occupation.”?","If you are listing a skilled trade (jobs with a four-digit NOC code that begins with 632, 633, 72, 73, 82, 92) as your primary occupation:This is the date when you first became qualified to practice on your own in that trade (for example, when you moved from apprentice to fully qualified tradesperson). Note:Note: If you are being assessed for the Federal Skilled Trades program, work experience in a trade will only count if you are qualified to practice in that region.If you are listing any other primary occupation: This is the date when you finished the minimum level of education needed for the occupation according to the National Occupational Classification codeNational Occupational Classification code. (Note: if the NOC only states high school, this is the date you graduated from high school.)"
How do I fill out my Express Entry profile when I have implied status?,"“Implied status” means you can stay in Canada and keep working while we make a decision on your application. 
If you are working in Canada with implied status and are authorized to work in Canada at the time you complete your Express Entry profile:

Answer “yes” to the question “Does [your name] have a valid work permit for the current job in Canada?”

If you are working in Canada with implied status and are authorized to work in Canada at the time you complete your Express Entry profile:If you are working in Canada with implied statusimplied status and are authorized to work in Canada at the time you complete your Express Entry profile:

Answer “yes” to the question “Does [your name] have a valid work permit for the current job in Canada?”

Answer “yes” to the question “Does [your name] have a valid work permit for the current job in Canada?”Answer “yes” to the question “Does [your name] have a valid work permit for the current job in Canada?”


If you are working in Canada with implied status, are authorized to work in Canada, and the original work permit was supported by a positive Labour Market Impact Assessment (LMIA):

Answer “yes” to the question “Was a positive LMIA issued for the current work permit?” Where it asks for the LMIA number, you should enter the number of the expired LMIA.

If you are working in Canada with implied status, are authorized to work in Canada, and the original work permit was supported by a positive Labour Market Impact Assessment (LMIA):If you are working in Canada with implied status, are authorized to work in Canada, and the original work permit was supported by a positive Labour Market Impact Assessment (LMIA):

Answer “yes” to the question “Was a positive LMIA issued for the current work permit?” Where it asks for the LMIA number, you should enter the number of the expired LMIA.

Answer “yes” to the question “Was a positive LMIA issued for the current work permit?” Where it asks for the LMIA number, you should enter the number of the expired LMIA.Answer “yesyes” to the question “Was a positive LMIA issued for the current work permitthe current work permit?” Where it asks for the LMIA number, you should enter the number of the expired LMIA.


If (2) is true, for the question “Was a positive LMIA issued for the job offer in Canadathe job offer in Canada?” answer “no” if:answer “no” if:
you are still working for the employer named on the original work permit, and you are still working for the employer named on the original work permit, and 
you have a job offer from your current employer for at least one yearyou have a job offer from your current employer for at least one year
answer “yes” if:answer “yes” if:
you are working for a different employer than the one named on the original work permityou are working for a different employer than the one named on the original work permit
you have a job offer from your new employer for at least one year andyou have a job offer from your new employer for at least one year and
your new employer has a positive LMIA.your new employer has a positive LMIA.
"
How do I get education points for Express Entry if I have two or more degrees or diplomas?,"To get the correct number of points, make sure you enter full details for each of your degrees or diplomas.Fill in all fields in the Education historyEducation history section. When you are done, click Save and addSave and add. After you do:
the details you entered about your study period will be saved to the listthe details you entered about your study period will be saved to the list
the fields will go blank and you can add another study periodthe fields will go blank and you can add another study period
make sure to add all study periods you want us to assess for pointsmake sure to add all study periods you want us to assess for points
You will get more points for a master’s or a doctorate, so if you have one, choose it from the drop-down menu."
"If my Express Entry profile expires, will the system keep my information?","No, the system will not keep your information. We had planned to allow the system to save profile information, so it would be easier to complete a new profile when the first one expired. We have found that this option is not possible at this time. Should the option become available in the future, we will update this information online.If your profile is about to expire, you must complete and submit a new one if you want to stay in the Express Entry pool.You can save screen shots of your profile to make it easier to re-enter your data.Do not create a new profile until your existing one expires. If you decide to create and submit a new profile before your existing one expires, you will need to withdraw your existing profilewithdraw your existing profile first.Find more informationFind more information."
Can I be eligible for more than one program under Express Entry?,"Yes.  Depending on the information in your profile, you may be eligible for more than  one program through Express Entry.In  that case, you will be invited to apply for one program based on this order:
Canadian Experience Class  (CEC),Canadian Experience Class  (CEC),
Federal Skilled Worker  Program (FSWP), thenFederal Skilled Worker  Program (FSWP), then
Federal Skilled Trades Program  (FSTP).Federal Skilled Trades Program  (FSTP).
For  example:
If you met the criteria  for all three programs, the system would send you an invitation to apply for  the CEC.If you met the criteria  for all three programs, the system would send you an invitation to apply for  the CEC.
If you met the criteria  for CEC and FSWP, you would also get an invitation to apply under the CEC.If you met the criteria  for CEC and FSWP, you would also get an invitation to apply under the CEC.
If you met the criteria for  FSWP and FSTP, you would get an invitation to apply under FSWP.If you met the criteria for  FSWP and FSTP, you would get an invitation to apply under FSWP.
You  can’t choose which program you are invited to apply for. The system will sort  profiles based on the information you enter.If you decline the  invitation, the system will not re-invite you under the next program. You will  go back in the pool, and if we invite you again, the same order will apply."
Can I be invited to apply if I've lost my username or password?,"
  Yes. If you are invited to applyinvited to apply, you will get an email at the address you provided. The email will say that you have a new message in your account.

  To accept or decline your invitation, you will need to sign in to your accountsign in to your account.

  If you've forgotten your password or username, follow these instructionsfollow these instructions.

  If you need to create a new account, you'll need to link your application to your new account. You may need your profile or application number to do this. You can find this number at the end of the subject line of an email we've sent you (example: W300027607).

  After you change your password or link your application, follow these steps:

Go back to the main page in your account.Go back to the main page in your account.
Scroll down to the table under the heading ""Continue my profile/application, not yet submitted"".Scroll down to the table under the heading ""Continue my profile/application, not yet submitted"".
Find the application called
    
""Work permit"" for International Experience Canada, or
""Permanent residence"" for Express Entry. 

Find the application called
    
""Work permit"" for International Experience Canada, or
""Permanent residence"" for Express Entry. 

""Work permit"" for International Experience Canada, or""Work permit"" for International Experience Canada, or
""Permanent residence"" for Express Entry. ""Permanent residence"" for Express Entry. 


To accept your invitation to apply, click ""Start application.""To accept your invitation to apply, click ""Start application.""

  If there's no application, you can check the status and messages for your profile under the heading ""View my submitted applications/profiles.""
"
Why did you change the number of points for a valid job offer in Express Entry?,"By awarding additional points for a job offer based on the NOC, we can get a better balance of top talent from the pool.This means that if you have a high CRS score for your skills and experience alone, you are more likely to be invited to apply.For a valid job offervalid job offer under Express Entry, you can now get:
200 CRS points for NOC 00 jobs200 CRS points for NOC 00 jobs
50 CRS points for any other NOC 0, A and B jobs.50 CRS points for any other NOC 0, A and B jobs.
We used to award 600 points for a valid job offer. This changed on November 19, 2016.Those points caused the system to place too much weight on job offers. This made it hard for highly skilled people without job offers, who we want in our economy, to be invited to apply.This change will better recognize both a person’s skills and experience with the value they bring to the economy."
Do I need a permanent job offer for Express Entry?,"No. As of November 19, 2016, a valid job offer for Express Entry only needs to be for one year or more.Job offers must still be:
at the NOC 0, A or B levelat the NOC 0, A or B level
from one employer for the FSW or CEC, or up to two employers for the FSTfrom one employer for the FSW or CEC, or up to two employers for the FST
supported by an LMIA (if you need one) or be for a candidate that is exempt from needing one.supported by an LMIA (if you need one) or be for a candidate that is exempt from needing one.
Why we changed itThere are many types of skilled jobs where long-term contracts are typical, such as research chairs, IT workers, CEOs, etc.This change will make it easier for businesses to use Express Entry, and for skilled workers to secure a job offer."
What makes a job offer valid under Express Entry?,"Generally, a valid offer is for a job that is:
full-time and non-seasonal,full-time and non-seasonal,
for at least one year,for at least one year,
in a skilled job listed as Skill Type 0, or Skill Level A or B in the 2016 National Occupational Classification.in a skilled job listed as Skill Type 0, or Skill Level A or B in the 2016 National Occupational ClassificationNational Occupational Classification.
A job offer must be in writing, and must set out details of the job they are offering you, such as:
your pay and deductionsyour pay and deductions
your job dutiesyour job duties
conditions of employment, like your hours of work.conditions of employment, like your hours of work.
In most cases, a valid job offer must be supported by a Labour Market Impact Assessment (LMIA). The employer has to apply for one from Employment and Social Development Canada/Service Canada.If they get a positive LMIA, they must give you a copy and a written job offer.In some cases, your employer does not need an LMIA to support your job offer. Find out more about jobs that are exemptjobs that are exempt.Under Express Entry, a valid job offer will give you additional points in the Comprehensive Ranking SystemComprehensive Ranking System.A work permit on its own is not a job offer, even if it is an open work permit.A work permit on its own is not a job offer, even if it is an open work permit.When you create your Express Entry profile, include the LMIA number to show that you have a valid job offer.If you get invited to apply, we may ask you for the original document, so keep it in a safe place.A job offer is notnot valid if your employer is:
an embassy, high commission or consulate in Canada, oran embassy, high commission or consulate in Canada, or
on the list of ineligible employers.on the list of ineligible employerslist of ineligible employers.
If your employer is not eligible, does not get a positive LMIA, or is not LMIA-exempt you will not meet the requirements of a valid job offer for arranged employmentarranged employment.Find out more about offers of employmentoffers of employment and exemptionsexemptions."
What do you mean by Primary Occupation?,"Your primary occupation means the job you have  experience in (within the last ten years) and want to base your immigration  application on, if you are invited to apply. "
How do I find my National Occupation Classification (NOC) code?,Your National Occupation Classification  (NOC) code is the number the job is listed under in Canada’s official job  classification system. Find the NOC code  and title for a jobFind the NOC code  and title for a job.
Why didn’t I get points for my job offer in Express Entry?,"To get points from the Comprehensive Ranking SystemComprehensive Ranking System for a job offer in Express Entry, your employer will usually need to get a Labour Market Impact Assessment (LMIA)Labour Market Impact Assessment (LMIA).You should only answer “Yes” to the question “Does [your name] have a job offer in Canada?” if:
a Canadian employer (or up to two for the Federal Skilled Trades Program) has offered you a full-time, non-seasonal job for one year or more anda Canadian employer (or up to two for the Federal Skilled Trades Program) has offered you a full-time, non-seasonal job for one year or more and
that job offer is supported by an LMIA, ORthat job offer is supported by an LMIA, OR
the job is exempt from needing an LMIA.the job is exempt from needing an LMIAexempt from needing an LMIA.
If you are currently working in Canada but have not been offered a job that is supported by a LMIA (or is exempt from needing one), you should:
answer “No” and answer “No” and 
create a Job Match account in Job Bank.create a Job Match account in Job BankJob Match account in Job Bank.
Note: From January 1, 2015 to November 19, 2016, jobs offers that didn’t need an LMIA were not considered valid for Express Entry. We now accept certain job offers that don’t need an LMIA.Find out more about what makes a job offer validFind out more about what makes a job offer valid."
I am working in Canada on a valid work permit. Does this count as a job offer?,"No, a work permit is not a job offera work permit is not a job offer. A job offer is valid if your current or future employer:
has made a written offer to give you a full-time, non-seasonal job for one year or more if you are accepted as a permanent resident andhas made a written offera written offer to give you a full-time, non-seasonal job for one year or more if you are accepted as a permanent resident and
has a positive Labour Market Impact Assessment (LMIA) from Employment and Social Development Canada (or the job is LMIA-exempt)has a positive Labour Market Impact Assessment (LMIA) from Employment and Social Development Canadapositive Labour Market Impact Assessment (LMIA) from Employment and Social Development Canada (or the job is LMIA-exempt)
This is true whether you are working in Canada or not.This is true whether you are working in Canada or not.There are only two reasonsonly two reasons that an employer making you a job offer does notnot need to get a new LMIA: 
if you are already working for them with a work permit based on that LMIAif you are already working for them with a work permit based on that LMIA
if you work in a job that does not need an LMIA.if you work in a job that does not need an LMIAjob that does not need an LMIA.
Find out more about what makes a job offer validFind out more about what makes a job offer valid."
There is no National Occupation Classification (NOC) code on my work permit. What should I put in my Express Entry profile?,"If there is no National Occupational Classification (NOC)  code on your work permit, you should find and use the NOC code of the job you  are currently doing in Canada.Find the NOC code and title for your jobFind the NOC code and title for your job."
"If I am waiting for a new work permit and I have job offer points, do I have to remove the job offer from my Express Entry profile?","“Implied status” means you can stay in Canada and keep working while we make a decision on your application.If you have implied status, and have applied to renew your work permit, you can keep working for the same employer under the same conditions. You are still eligible for job offer points during this time.If you are invited to apply, your Express Entry profile answers will be carried forward to your online application for permanent residence. It will show that you have a valid work permit supported by an LMIA (if you need one) in a NOC 0, A or B job. You will not need to  change the answers.You must submit a copy of your LMIA with the application if your work permit was supported by an LMIA.Note: The points you can get for a job offer has changed. You can now get:
200 CRS points for a valid job offer in a NOC 00 job200 CRS points for a valid job offer in a NOC 00 job
50 CRS points for a valid job offer in a NOC 0, NOC A or B job.50 CRS points for a valid job offer in a NOC 0, NOC A or B job.
"
What work experience can I count towards the Federal Skilled Trades Program’s two-year requirement?,"In the Federal Skilled Trades program, work experience in a trade can only count if you are qualified to independently practice that trade in the region where you got your work experience. If you are qualified in one country, you might work in another country that has different rules for practicing your trade. In that case, the work experience from the second country will only count towards the two-year work experience requirement if you also met the requirements to practice there independently. For example, if you are a plumber from Germany and worked for one year in Poland, you need to prove that you were certified to be a plumber in Germany, and that you were qualified to work in Poland according to Polish regulations at the time for this work experience to count. "
I have been working in Canada for the last six months but didn’t get points for work experience. Why not?,"Under the Express Entry Comprehensive Ranking System (CRS), to be awarded points for skilled work experience, you must have been:
legally allowed to work in Canada in one or more jobs listed in Skill Type 0 or Skill Level A or B of the National Occupational Classification;legally allowed to work in Canada in one or more jobs listed in Skill Type 0 or Skill Level A or B of the National Occupational ClassificationNational Occupational ClassificationNational Occupational Classification;
working full-time (or an equal amount in part-time), meaning 30 hours of work per week, and working full-time (or an equal amount in part-time), meaning 30 hours of work per week, and 
working for at least one year in the 10-year period before the day we assign you points.working for at least one year working for at least one year in the 10-year period before the day we assign you points.
We do not count work experience if you were:
studying full-time while you were working, studying full-time while you were working, 
self-employed, or self-employed, or 
not legally allowed to work in Canada. not legally allowed to work in Canada. 
Please note:Please note: Work experience does not not need to be continuous to get points under the CRS. But, to qualify under the Federal Skilled Worker Program, you must have at least one year of continuouscontinuous full-time paid work experience, either in Canada or abroad."
"If I am under implied status while in the Express Entry pool, will I still get the job offer points?","If you show in your Express Entry profile that you have a valid job offervalid job offer, you will automatically be awarded additional points towards your Comprehensive Ranking SystemComprehensive Ranking System score.If your job offer is from your current employer, and you are under implied statusimplied status, you must keep working for the same employer under the same conditions in order to keep your job offer points.Note: The points you can get for a job offer has changed. You can now get:
200 CRS points for a valid job offer in a NOC 00 job.200 CRS points for a valid job offer in a NOC 00 job.
50 CRS points for a valid job offer in a NOC 0, NOC A or B job.50 CRS points for a valid job offer in a NOC 0, NOC A or B job.
"
What if I am invited to apply for Express Entry while waiting for a new work permit?,"If you applied for a new work permit before your old one expired, you are under “implied statusimplied status” until we make a decision on your application.Job offer information from your current employer in your Express Entry profile will carry forward to your application if we invite you to apply for permanent residence while under implied status.If you are not sure you answered correctly:If you are not sure you answered correctly:
go to the “work history” screen, under the “Intended work in Canada” sectiongo to the “work history” screen, under the “Intended work in Canada” section
scroll down to the section about Labour Market Impact Assessments (LMIA)scroll down to the section about Labour Market Impact Assessments (LMIA)
if your employer had an LMIA for your work permit, make sure you answered “yes” to the question “Was a positive LMIA issued for the job offer in Canada?”if your employer had an LMIA for your work permit, make sure you answered “yes” to the question “Was a positive LMIA issued for the job offer in Canada?”
under “LMIA number,” enter the number from the expired LMIAunder “LMIA number,” enter the number from the expired LMIA
if your work permit is LMIA-exempt, for the question “Was a positive LMIA issued for the job offer in Canada?” choose the correct answer from the “No – My work permit is exempt…” options.if your work permit is LMIA-exempt, for the question “Was a positive LMIA issued for the job offer in Canada?” choose the correct answer from the “No – My work permit is exempt…” options.
To prove that you are under implied statusTo prove that you are under implied status, include a copy of your new LMIA (if this applies) and work permit applications when you apply. When you get to the document checklist, select “add letter of explanation” to upload it into the “Optional documents” section.As long as you still have implied status at the time you apply, you do not need to wait for your new work permit to be approved.If we issue you a new work permit before you submit your applicationIf we issue you a new work permit before you submit your application, you need to update this information before you submit it.If we refuse you a new work permit before you submit your applicationIf we refuse you a new work permit before you submit your application, you may want to decline the invitation to apply, since the information in your profile is no longer up to date. You will be put back in the pool, and should update your profile to show the change in your work status.You can recalculate your scorerecalculate your score to see if you still have enough points to be invited to apply.If losing job offer points brings your score below the minimum score for your round of invitation, we will refuse your application. If we refuse your application, we will not refund your processing fees."
I was invited to apply through Express Entry but my work permit expired. What do I do?,"If you did not apply for a new work permit before your original one expired (in other words, maintain implied status), it may cause your score to drop. This could cause you to not be eligible any more.If your score has dropped below the minimum cut off for your round of invitations, you should decline the invitation. If this happens and you submit your application anyway, we will refuse it.If we refuse your application, we will not refund your fees.If you decline, you will be put back in the pool. You should update your Express Entry profile to show the change in your work status.You may be able to restore your work permit statusrestore your work permit status. If your status is restored and you still have an eligible Express Entry profile, you may be invited to again apply for permanent residence in the future."
I didn’t get a Job Seeker Validation Code in the message you sent to my account. Why not?,"If you got an Express Entry profile number but not a Job Seeker Validation Code you should contact us using the Case Specific Enquiry formCase Specific Enquiry form.To be eligible for Express Entry, you need to meet the minimum requirementsminimum requirements and complete a profilecomplete a profile."
Do I need a job offer to get into the Express Entry pool?,"No, in most cases you don’t need a job  offer.But, you will need one if you: 
are eligible for either the  Federal Skilled Worker Program or the Federal Skilled Trades Program, andare eligible for either the  Federal Skilled Worker Program or the Federal Skilled Trades Program, and
do not have enough money to support yourself and your family in Canada.do not have enough moneyenough money to support yourself and your family in Canada.
Even if you don’t need one, you may want to try  and find a valid  job offervalid  job offer. It will give you a much higher point score, and so a better  chance of being invited to apply."
How do I register with / create a Job Match account in Job Bank?,"
Note: It is now optional to create a Job Match account with Job Bank. You can still create a Job Match account to help you find work.Note: It is now optional to create a Job Match account with Job Bank. You can still create a Job Match account to help you find work.
Job Bank is a database that can help match you with employers looking for workers with your skills.If your Express Entry profile is found eligible, you can create a Job Match account. To do so:
go to the Job Match sign-in pagego to the Job Match sign-in pageJob Match sign-in page
click the “Create an account” buttonclick the “Create an account” button
read the privacy notice and click “I agree”read the privacy notice and click “I agree”
follow the instructions to create an account. follow the instructions to create an account. 
"
How do I upload more supporting documents after I have already submitted my online application for permanent residence through Express Entry?,"Once you have submitted your online application for permanent residence, you cannot send more documents through your account unless IRCC asks for them.If IRCC asks for a document, you will get a message in your account.To upload a document:
Sign in to your account.Sign in to your accountaccount.
Under “View my submitted applications” click on “Check status and messages.”Under “View my submitted applications” click on “Check status and messages.”
Under “Application Details” click on “View submitted application” at the bottom of the page.Under “Application Details” click on “View submitted application” at the bottom of the page.
On this page, you can upload the additional document the same way you uploaded the others when you first applied.On this page, you can upload the additional document the same way you uploaded the others when you first applied.
If you need to send documents that we did not ask for (for example, an updated Travel History form), go to our Web formWeb form and follow the instructions."
How can I update or ask about an IRCC application that is in progress?,"If you have not submitted your final, complete application and your uploaded documents, select the “Report a technical issue” button at the top corner of your accountaccount page.If you have submitted your online application and documents, use this Web formWeb form."
What can I apply for online?,"You can apply online to:
get or extend study permitsget or extend study permits
get or extend work permitsget or extend work permits
get or extend visitor visasget or extend visitor visas
immigrate as a skilled worker through Express Entryimmigrate as a skilled worker through Express EntryExpress Entry
You can also:
restore your status as a visitor, student or worker, within 90 days of the date your visa expires andrestore your status as a visitor, student or worker, within 90 days of the date your visa expires and
submit applications for your family members when you apply for or extend a visitor visa, study or work permitsubmit applications for your family members when you apply for or extend a visitor visa, study or work permit
See: How can I check the status of my application?How can I check the status of my application?"
What is a personal document checklist?,"A personal document checklist is a list of forms and documents you need to complete and send in with your application.If you are applying for a visitor visa, study or work permit, this checklist is based on the answers you gave in the online immigration eligibility questionnaireonline immigration eligibility questionnaire.If you are applying for permanent residence online, the checklist is based on the answers you gave while completing your application.Use this page to upload the supporting documents you need to include when you submit your application."
What is a personal reference code?,"Your personal reference code is a unique code given to you through Come to CanadaCome to Canada, our online eligibility tool. You’ll need to enter this code to:
begin an online application for a visitor visa, study or work permit orbegin an online application for a visitor visa, study or work permit or
 carry your information from Come to Canada over to an Express Entry profile carry your information from Come to Canada over to an Express Entry profile
You can find your personal reference code at the top of your results page after you answer all the questions in the tool.You should write it down and print a copy of your results and/or checklist. This code is only valid for 60 days from the date you get it."
What if I don’t know how to answer a question in my online application?,"Some questions have help  text that explains the question. To see it, click on the help (?) icon on the right side of the question.We have also linked some words to our glossary or website. If a word in a question is underlined, you can click on the word to see the definition, or it will lead you to a page on our website with more details."
How do I exit and save my online application?,"When logged into your accountyour account:
If you are in the application for services related to visas, study or work permits, click the blue “Exit Questionnaire” button at the bottom left of the page to end your session. When you click “Exit”, your online application will automatically be saved. If you are in the application for services related to visas, study or work permits, click the blue “Exit Questionnaire” button at the bottom left of the page to end your session. When you click “Exit”, your online application will automatically be saved. 
If you are in an Express Entry profile or online application for permanent residence, click the grey “Save and Exit” button at the bottom left of the page.If you are in an Express Entry profile or online application for permanent residence, click the grey “Save and Exit” button at the bottom left of the page.
"
What does it mean when I electronically sign my online application?,"By electronically signing your online application or online request, you are declaring that:
the information you have given in your application is true andthe information you have given in your application is true and
 the supporting documents you are sending are genuine.  the supporting documents you are sending are genuine. 
"
What do I do if the online application system is down?,"There are times where the system will be down for routine maintenance. Follow Immigration, Refugees and Citizenship Canada on TwitterFollow Immigration, Refugees and Citizenship Canada on Twitter for notifications on when the system will be unavailable.Notices will also be posted on our website.If the system is down and it is not a scheduled outage for system maintenance, please let us knowplease let us know, and try again later."
Who can I contact if I have questions about GCKey or Sign-In Partner (SecureKey Concierge)?,"For questions about GCKey GCKey, please call 1-855-438-1102. The GCKey help desk is available 24 hours a day, 7 days a week. More information is available on the GCKey websiteGCKey website.For questions about Sign-In PartnerSign-In Partner (SecureKey Concierge), please call:
1-855-433-5397 (in North America) 1-855-433-5397 (in North America) 
TTY/TDD: 1-855-224-1714TTY/TDD: 1-855-224-1714
1-800-7328-7358 (outside of North America)1-800-7328-7358 (outside of North America)
"
How do I get a GCKey?,"To register for a GCKey, go to the sign in pagesign in page and click the “Continue to GCKey” button.Then, choose a user name and a password. It’ll ask you to create security questions. Keep a copy of this in a safe place in case you forget."
What do I do if I lost my GCKey username or password?,"If you lost your GCKey password, you can create a new  password. Go to the sign-in page for GCKeysign-in page for GCKey and you’ll be able to create a new  password after you answer the password recovery questions you previously set up  while registering for a GCKey.If you lost your GCKey username, you will have  to create a new GCKey. If you create  a new GCKey you can access an application by linking the application to your  new account.See also: I recently reset my account, but I don’t see my application. How can I get  it back?I recently reset my account, but I don’t see my application. How can I get  it back?"
What do I do if I have technical problems when applying online?,"We want to know about any technical issues you’re having so we can help solve the issue.If you’re having problems with our formsIf you’re having problems with our forms, read about downloadingdownloading and uploadinguploading forms and documents first.If you have problems before you apply If you have problems before you apply  (while you’re filling out your online application or uploading your documents): Use the Report a technical issueReport a technical issue button at the top of your account.If you have problems after you submit your application:If you have problems after you submit your application: Use our web formweb form and choose Technical difficultiesTechnical difficulties as the type of enquiry.To help us find and solve the issue as fast as possible, include :
surname (last name)surname (last name)
given name(s)given name(s)
date of birthdate of birth
country of birthcountry of birth
the type of device you were using (PC , Mac, iPad, etc.)the type of device you were using (PC , Mac, iPad, etc.)
the browser you were using (including version)the browser you were using (including version)
your general location (Africa, Asia, Europe, etc.)your general location (Africa, Asia, Europe, etc.)
description of the problem or error message, including the date and time (including time zone) it happeneddescription of the problem or error message, including the date and time (including time zone) it happened
screenshots of the page where you had the problemscreenshots of the page where you had the problem
a copy/paste text of the full URL of the pagea copy/paste text of the full URL of the page
as much information as possible about the steps you took before you had the problemas much information as possible about the steps you took before you had the problem
If you have it, also include your:
Unique Client Identifier (UCI)/Client ID NumberUnique Client Identifier (UCI)/Client ID Number
application numberapplication number
personal reference codepersonal reference code
current status in Canada and the date of expirationcurrent status in Canada and the date of expiration
the date you appliedthe date you applied
For technical issues uploading a form or document, include:
a copy of the form or document you’re trying to upload (with all fields completed), anda copy of the form or document you’re trying to upload (with all fields completedall fields completed), and
all your answers to the online questionnaire. To do this:
    
choose “Modify my Answers” at the top of the page
save your answers into a document by:
        
taking screen shots or
copying and pasting the text



all your answers to the online questionnaire. To do this:
    
choose “Modify my Answers” at the top of the page
save your answers into a document by:
        
taking screen shots or
copying and pasting the text



choose “Modify my Answers” at the top of the pagechoose “Modify my Answers” at the top of the page
save your answers into a document by:
        
taking screen shots or
copying and pasting the text

save your answers into a document by:
        
taking screen shots or
copying and pasting the text

taking screen shots ortaking screen shots or
copying and pasting the textcopying and pasting the text




For technical issues linking your application to a new account, include:
all your answers on the “Link an existing application to this account” page. Save them in a document by:
    
tak ing screenshots or
copying and pasting the text

all your answers on the “Link an existing application to this account” page. Save them in a document by:
    
tak ing screenshots or
copying and pasting the text

tak ing screenshots ortak ing screenshots or
copying and pasting the textcopying and pasting the text


For all other technical issues, include:
screenshots showing the full browser window of the:
    
page where you’re having problems or trying to sign into your account
error message(s) you got

screenshots showing the full browser window of the:
    
page where you’re having problems or trying to sign into your account
error message(s) you got

page where you’re having problems or trying to sign into your accountpage where you’re having problems or trying to sign into your account
error message(s) you goterror message(s) you got


If you need to send many documents and images, find out how to combine documentshow to combine documents.We’ll try to answer within 10 business days after you contact us . Don’t send your question more than once. It can delay our answer."
"I recently reset my account, but I don’t see my application. How can I get it back?","If you have just reset your account because you lost your username and/or password, as a security measure we need to ask you questions about the application you submitted before we give you access to it.To link an application you have in progress to your account, sign in to your accountsign in to your account and click on “Link application to this account” under the heading “What would you like to do today?”You will have to tell us specific information about the application you would like to access. Have a copy of your application form on hand as you will have to enter the information exactly as you did on your application form."
Who is a federal skilled worker?,"
We have been returning fees paid to the Department for Federal Skilled Worker (FSW) applications affected  by the backlog elimination announced in 2012.We have been returning fees paid to the Department for Federal Skilled Worker (FSW) applications affected  by the backlog elimination announced in 2012.
If you applied to the FSW program before February 27, 2008, and have not heard from us about whether a decision has been made based on the assessment of your application, you may be affected by this law. Please see how you can get your fee returned – archived.If you applied to the FSW program before February 27, 2008, and have not heard from us about whether a decision has been made based on the assessment of your application, you may be affected by this law. Please see how you can get your fee returned – archivedhow you can get your fee returned – archived.
Skilled workers are chosen as permanent residentspermanent residents based on their education, work experience, knowledge of English and/or French, and other factorsother factors. These things often help them succeed in Canada.Since January 1, 2015, completing an Express Entry profile is the first step in immigrating to Canada permanently as a skilled worker under the:
Federal Skilled Worker Program,Federal Skilled Worker ProgramFederal Skilled Worker Program,
Federal Skilled Trades Program, andFederal Skilled Trades ProgramFederal Skilled Trades Program, and
Canadian Experience Class.Canadian Experience ClassCanadian Experience Class.
Under the Express Entry system, we will invite people to apply for permanent residence based on the information they enter in an online profile. You cannot apply directly to any of these programs unless we send you an invitation to apply.Skilled workers who want to live in Quebec apply under a separate categoryseparate category. The province of Quebec selects its own skilled workers. Applicants who intend to go to Quebec are known as “Quebec-selectedQuebec-selected” skilled workers."
Can I withdraw my federal skilled worker application?,"We have been returning fees paid to the Department for Federal Skilled Worker (FSW) applications affected by the backlog elimination announced in 2012.We have been returning fees paid to the Department for Federal Skilled Worker (FSW) applications affected by the backlog elimination announced in 2012.
If you applied to the FSW program before February 27, 2008, and have not heard from us about whether a decision has been made based on the assessment of your application, you may be affected by this law. Please see how you can get your fee returned - archived.If you applied to the FSW program before February 27, 2008, and have not heard from us about whether a decision has been made based on the assessment of your application, you may be affected by this law. Please see how you can get your fee returned - archivedhow you can get your fee returned - archived.Yes. Contact your local visa officelocal visa office to withdraw your application."
